日期,最高气温,最低气温,天气,风向,风力,日照时数,空气质量指数
2021-01-01 星期五 ,0℃,-11℃,晴,东北风 ,2级,9:24:14,"55
                                       "
2021-01-02 星期六 ,0℃,-9℃,晴,东北风 ,2级,9:24:58,"72
                                       "
2021-01-03 星期日 ,0℃,-7℃,多云,东北风 ,2级,9:25:46,"30
                                       "
2021-01-04 星期一 ,-1℃,-11℃,晴,北风 ,3级,9:26:38,"37
                                       "
2021-01-05 星期二 ,-2℃,-11℃,晴,西北风 ,3级,9:27:32,"28
                                       "
2021-01-06 星期三 ,0℃,-19℃,多云,西北风 ,4级,9:28:31,"61
                                       "
2021-01-07 星期四 ,-7℃,-14℃,晴,西北风 ,3级,9:29:33,"27
                                       "
2021-01-08 星期五 ,-2℃,-10℃,晴,西北风 ,3级,9:30:39,"28
                                       "
2021-01-09 星期六 ,1℃,-8℃,晴,西北风 ,2级,9:31:48,"34
                                       "
2021-01-10 星期日 ,1℃,-7℃,多云,北风 ,2级,9:33:00,"25
                                       "
2021-01-11 星期一 ,2℃,-8℃,多云,西北风 ,2级,9:34:16,"49
                                       "
2021-01-12 星期二 ,4℃,-6℃,晴,北风 ,1级,9:35:34,"97
                                       "
2021-01-13 星期三 ,9℃,-6℃,晴,北风 ,2级,9:36:56,"142
                                       "
2021-01-14 星期四 ,2℃,-4℃,阴,东北风 ,2级,9:38:21,"82
                                       "
2021-01-15 星期五 ,3℃,-8℃,晴,北风 ,3级,9:39:48,"99
                                       "
2021-01-16 星期六 ,0℃,-8℃,晴,西北风 ,3级,9:41:19,"30
                                       "
2021-01-17 星期日 ,3℃,-7℃,晴,西风 ,2级,9:42:53,"50
                                       "
2021-01-18 星期一 ,4℃,-6℃,晴,东北风 ,2级,9:44:29,"55
                                       "
2021-01-19 星期二 ,-3℃,-8℃,阴,东北风 ,2级,9:46:08,"46
                                       "
2021-01-20 星期三 ,1℃,-5℃,晴,北风 ,1级,9:47:50,"71
                                       "
2021-01-21 星期四 ,5℃,-5℃,阴,西北风 ,1级,9:49:34,"103
                                       "
2021-01-22 星期五 ,5℃,-7℃,晴,东北风 ,1级,9:51:21,"112
                                       "
2021-01-23 星期六 ,3℃,-6℃,多云,西南风 ,1级,9:53:10,"115
                                       "
2021-01-24 星期日 ,5℃,-5℃,晴,北风 ,1级,9:55:01,"137
                                       "
2021-01-25 星期一 ,1℃,-6℃,雨夹雪,西北风 ,1级,9:56:55,"175
                                       "
2021-01-26 星期二 ,6℃,-7℃,阴,西北风 ,2级,9:58:51,"110
                                       "
2021-01-27 星期三 ,3℃,-6℃,阴,北风 ,2级,10:00:48,"54
                                       "
2021-01-28 星期四 ,-1℃,-9℃,晴,西北风 ,4级,10:02:48,"44
                                       "
2021-01-29 星期五 ,0℃,-8℃,晴,东风 ,1级,10:04:50,"47
                                       "
2021-01-30 星期六 ,7℃,-7℃,晴,西风 ,3级,10:06:54,"68
                                       "
2021-01-31 星期日 ,0℃,-5℃,多云,东北风 ,1级,10:09:00,"87
                                       "
2021-02-01 星期一 ,3℃,-8℃,晴,西北风 ,3级,10:11:08,"48
                                       "
2021-02-02 星期二 ,0℃,-9℃,晴,西风 ,3级,10:13:17,"36
                                       "
2021-02-03 星期三 ,7℃,-6℃,晴,西北风 ,3级,10:15:28,"47
                                       "
2021-02-04 星期四 ,10℃,-5℃,晴,西南风 ,2级,10:17:40,"54
                                       "
2021-02-05 星期五 ,15℃,-1℃,晴,西北风 ,1级,10:19:54,"65
                                       "
2021-02-06 星期六 ,16℃,-1℃,多云,北风 ,2级,10:22:10,"81
                                       "
2021-02-07 星期日 ,7℃,-4℃,晴,北风 ,2级,10:24:26,"46
                                       "
2021-02-08 星期一 ,8℃,-5℃,晴,东南风 ,1级,10:26:44,"43
                                       "
2021-02-09 星期二 ,10℃,-3℃,晴,西北风 ,1级,10:29:04,"84
                                       "
2021-02-10 星期三 ,15℃,-3℃,晴,北风 ,1级,10:31:24,"99
                                       "
2021-02-11 星期四 ,10℃,0℃,霾,北风 ,1级,10:33:46,"204
                                       "
2021-02-12 星期五 ,14℃,1℃,霾,北风 ,2级,10:36:09,"249
                                       "
2021-02-13 星期六 ,8℃,2℃,霾,东北风 ,1级,10:38:33,"255
                                       "
2021-02-14 星期日 ,4℃,-4℃,晴,东北风 ,2级,10:40:58,"141
                                       "
2021-02-15 星期一 ,5℃,-2℃,晴,西风 ,3级,10:43:25,"33
                                       "
2021-02-16 星期二 ,0℃,-6℃,晴,北风 ,4级,10:45:52,"32
                                       "
2021-02-17 星期三 ,2℃,-6℃,晴,北风 ,3级,10:48:19,"22
                                       "
2021-02-18 星期四 ,6℃,-4℃,晴,北风 ,1级,10:50:48,"35
                                       "
2021-02-19 星期五 ,16℃,-2℃,晴,西北风 ,1级,10:53:17,"64
                                       "
2021-02-20 星期六 ,20℃,4℃,多云,西北风 ,1级,10:55:48,"70
                                       "
2021-02-21 星期日 ,25℃,4℃,晴,西北风 ,2级,10:58:18,"119
                                       "
2021-02-22 星期一 ,12℃,1℃,多云,东北风 ,3级,11:00:50,"55
                                       "
2021-02-23 星期二 ,3℃,-2℃,阴,东南风 ,3级,11:03:22,"47
                                       "
2021-02-24 星期三 ,4℃,-2℃,多云,东风 ,1级,11:05:54,"60
                                       "
2021-02-25 星期四 ,7℃,-2℃,晴,东北风 ,1级,11:08:29,"103
                                       "
2021-02-26 星期五 ,11℃,-2℃,晴,南风 ,1级,11:11:02,"170
                                       "
2021-02-27 星期六 ,11℃,2℃,阴,南风 ,2级,11:13:37,"162
                                       "
2021-02-28 星期日 ,5℃,1℃,小雪,东风 ,2级,11:16:11,"129
                                       "
2021-03-01 星期一 ,5℃,-6℃,小雪,南风 ,2级,11:18:47,"31
                                       "
2021-03-02 星期二 ,4℃,-2℃,多云,南风 ,2级,11:21:22,"79
                                       "
2021-03-03 星期三 ,6℃,2℃,多云,东北风 ,1级,11:23:59,"147
                                       "
2021-03-04 星期四 ,11℃,2℃,阴,东北风 ,1级,11:26:35,"198
                                       "
2021-03-05 星期五 ,9℃,-2℃,雾,东风 ,3级,11:29:12,"156
                                       "
2021-03-06 星期六 ,4℃,-5℃,阴,南风 ,2级,11:31:49,"48
                                       "
2021-03-07 星期日 ,8℃,-2℃,多云,南风 ,2级,11:34:26,"77
                                       "
2021-03-08 星期一 ,10℃,1℃,多云,南风 ,1级,11:37:03,"115
                                       "
2021-03-09 星期二 ,15℃,3℃,多云,北风 ,1级,11:39:41,"184
                                       "
2021-03-10 星期三 ,16℃,8℃,雾,南风 ,2级,11:42:20,"232
                                       "
2021-03-11 星期四 ,17℃,7℃,阴,南风 ,2级,11:44:57,"163
                                       "
2021-03-12 星期五 ,10℃,6℃,小雨,南风 ,2级,11:47:35,"135
                                       "
2021-03-13 星期六 ,14℃,8℃,多云,南风 ,1级,11:50:14,"134
                                       "
2021-03-14 星期日 ,13℃,9℃,阴,南风 ,2级,11:52:53,"172
                                       "
2021-03-15 星期一 ,12℃,2℃,扬沙,西北风 ,3级,11:55:32,"363
                                       "
2021-03-16 星期二 ,15℃,3℃,浮尘,北风 ,2级,11:58:10,"114
                                       "
2021-03-17 星期三 ,13℃,6℃,小雨,东南风 ,2级,12:00:48,"185
                                       "
2021-03-18 星期四 ,8℃,3℃,阴,东南风 ,2级,12:03:27,"97
                                       "
2021-03-19 星期五 ,10℃,5℃,阴,南风 ,2级,12:06:06,"97
                                       "
2021-03-20 星期六 ,13℃,3℃,浮尘,西北风 ,3级,12:08:44,"83
                                       "
2021-03-21 星期日 ,12℃,1℃,晴,西北风 ,3级,12:11:23,"32
                                       "
2021-03-22 星期一 ,19℃,5℃,晴,西风 ,2级,12:14:01,"128
                                       "
2021-03-23 星期二 ,23℃,8℃,晴,西南风 ,2级,12:16:40,"87
                                       "
2021-03-24 星期三 ,21℃,6℃,阴,东北风 ,2级,12:19:19,"106
                                       "
2021-03-25 星期四 ,21℃,11℃,多云,南风 ,2级,12:21:57,"88
                                       "
2021-03-26 星期五 ,14℃,10℃,小雨,南风 ,2级,12:24:35,"178
                                       "
2021-03-27 星期六 ,18℃,10℃,雾,南风 ,2级,12:27:12,"178
                                       "
2021-03-28 星期日 ,18℃,8℃,扬沙,西北风 ,4级,12:29:50,"289
                                       "
2021-03-29 星期一 ,19℃,6℃,多云,西北风 ,2级,12:32:28,"87
                                       "
2021-03-30 星期二 ,21℃,9℃,多云,西南风 ,2级,12:35:06,"141
                                       "
2021-03-31 星期三 ,24℃,10℃,多云,东北风 ,2级,12:37:42,"115
                                       "
2021-04-01 星期四 ,18℃,13℃,阴,东南风 ,2级,12:40:19,"113
                                       "
2021-04-02 星期五 ,16℃,10℃,阴,东南风 ,2级,12:42:55,"59
                                       "
2021-04-03 星期六 ,18℃,7℃,阴,东北风 ,3级,12:45:32,"37
                                       "
2021-04-04 星期日 ,20℃,7℃,晴,西南风 ,2级,12:48:07,"32
                                       "
2021-04-05 星期一 ,18℃,7℃,多云,西南风 ,3级,12:50:43,"60
                                       "
2021-04-06 星期二 ,21℃,10℃,晴,西南风 ,2级,12:53:18,"55
                                       "
2021-04-07 星期三 ,19℃,5℃,晴,东南风 ,3级,12:55:52,"66
                                       "
2021-04-08 星期四 ,19℃,10℃,晴,南风 ,2级,12:58:27,"64
                                       "
2021-04-09 星期五 ,17℃,6℃,晴,东风 ,2级,13:01:00,"64
                                       "
2021-04-10 星期六 ,19℃,13℃,多云,南风 ,2级,13:03:34,"89
                                       "
2021-04-11 星期日 ,20℃,8℃,阴,南风 ,3级,13:06:06,"83
                                       "
2021-04-12 星期一 ,17℃,8℃,晴,北风 ,3级,13:08:39,"74
                                       "
2021-04-13 星期二 ,16℃,8℃,晴,西北风 ,3级,13:11:11,"30
                                       "
2021-04-14 星期三 ,21℃,10℃,晴,西南风 ,2级,13:13:41,"66
                                       "
2021-04-15 星期四 ,20℃,9℃,晴,西风 ,3级,13:16:12,"171
                                       "
2021-04-16 星期五 ,16℃,9℃,晴,西北风 ,3级,13:18:41,"111
                                       "
2021-04-17 星期六 ,20℃,5℃,晴,西北风 ,3级,13:21:10,"34
                                       "
2021-04-18 星期日 ,24℃,10℃,晴,西南风 ,2级,13:23:39,"64
                                       "
2021-04-19 星期一 ,28℃,15℃,多云,南风 ,2级,13:26:06,"90
                                       "
2021-04-20 星期二 ,26℃,13℃,多云,南风 ,3级,13:28:33,"87
                                       "
2021-04-21 星期三 ,21℃,12℃,阴,南风 ,3级,13:30:59,"64
                                       "
2021-04-22 星期四 ,16℃,9℃,晴,东风 ,2级,13:33:24,"47
                                       "
2021-04-23 星期五 ,21℃,13℃,多云,东风 ,2级,13:35:48,"46
                                       "
2021-04-24 星期六 ,19℃,14℃,多云,东风 ,2级,13:38:11,"41
                                       "
2021-04-25 星期日 ,20℃,10℃,多云,南风 ,2级,13:40:33,"56
                                       "
2021-04-26 星期一 ,21℃,9℃,阴,南风 ,3级,13:42:54,"57
                                       "
2021-04-27 星期二 ,21℃,11℃,晴,西北风 ,3级,13:45:14,"80
                                       "
2021-04-28 星期三 ,22℃,11℃,多云,西南风 ,3级,13:47:33,"57
                                       "
2021-04-29 星期四 ,13℃,8℃,晴,西北风 ,3级,13:49:51,"56
                                       "
2021-04-30 星期五 ,14℃,7℃,晴,西风 ,2级,13:52:07,"32
                                       "
2021-05-01 星期六 ,20℃,8℃,晴,北风 ,3级,13:54:23,"29
                                       "
2021-05-02 星期日 ,20℃,12℃,晴,南风 ,3级,13:56:37,"41
                                       "
2021-05-03 星期一 ,24℃,12℃,多云,南风 ,3级,13:58:49,"65
                                       "
2021-05-04 星期二 ,21℃,10℃,晴,西北风 ,3级,14:01:01,"54
                                       "
2021-05-05 星期三 ,27℃,15℃,多云,西南风 ,3级,14:03:11,"74
                                       "
2021-05-06 星期四 ,19℃,14℃,霾,西风 ,4级,14:05:19,"200
                                       "
2021-05-07 星期五 ,25℃,16℃,多云,西风 ,4级,14:07:26,"142
                                       "
2021-05-08 星期六 ,25℃,12℃,多云,北风 ,3级,14:09:31,"95
                                       "
2021-05-09 星期日 ,25℃,13℃,多云,东南风 ,2级,14:11:34,"52
                                       "
2021-05-10 星期一 ,23℃,14℃,多云,东南风 ,3级,14:13:36,"52
                                       "
2021-05-11 星期二 ,24℃,13℃,阴,东南风 ,3级,14:15:35,"50
                                       "
2021-05-12 星期三 ,26℃,16℃,晴,东风 ,2级,14:17:33,"47
                                       "
2021-05-13 星期四 ,22℃,17℃,多云,东南风 ,2级,14:19:30,"61
                                       "
2021-05-14 星期五 ,20℃,18℃,阴,东南风 ,3级,14:21:24,"64
                                       "
2021-05-15 星期六 ,21℃,16℃,阴,北风 ,3级,14:23:17,"35
                                       "
2021-05-16 星期日 ,25℃,14℃,多云,西北风 ,3级,14:25:07,"26
                                       "
2021-05-17 星期一 ,30℃,16℃,多云,西风 ,2级,14:26:54,"43
                                       "
2021-05-18 星期二 ,32℃,19℃,多云,西南风 ,2级,14:28:41,"57
                                       "
2021-05-19 星期三 ,30℃,20℃,阴,西南风 ,3级,14:30:24,"72
                                       "
2021-05-20 星期四 ,27℃,16℃,多云,南风 ,2级,14:32:05,"63
                                       "
2021-05-21 星期五 ,30℃,19℃,小雨,西南风 ,2级,14:33:44,"71
                                       "
2021-05-22 星期六 ,32℃,18℃,小雨转阴,西南风 ,3级,14:35:21,"76
                                       "
2021-05-23 星期日 ,26℃,15℃,多云,西北风 ,4级,14:36:55,"135
                                       "
2021-05-24 星期一 ,24℃,13℃,多云转小雨,西北风 ,3级,14:38:26,"53
                                       "
2021-05-25 星期二 ,27℃,16℃,多云,西南风 ,3级,14:39:54,"67
                                       "
2021-05-26 星期三 ,26℃,15℃,多云转小雨,北风 ,2级,14:41:21,"52
                                       "
2021-05-27 星期四 ,28℃,17℃,多云转小雨,西北风 ,3级,14:42:45,"39
                                       "
2021-05-28 星期五 ,27℃,17℃,多云,西北风 ,3级,14:44:05,"28
                                       "
2021-05-29 星期六 ,27℃,16℃,多云,东风 ,3级,14:45:23,"39
                                       "
2021-05-30 星期日 ,27℃,15℃,多云,南风 ,2级,14:46:38,"45
                                       "
2021-05-31 星期一 ,20℃,16℃,小雨,东风 ,2级,14:47:49,"42
                                       "
2021-06-01 星期二 ,28℃,17℃,多云,东南风 ,3级,14:48:59,"37
                                       "
2021-06-02 星期三 ,26℃,15℃,多云,北风 ,2级,14:50:04,"45
                                       "
2021-06-03 星期四 ,29℃,14℃,晴,西北风 ,3级,14:51:08,"27
                                       "
2021-06-04 星期五 ,29℃,17℃,晴,西北风 ,3级,14:52:07,"34
                                       "
2021-06-05 星期六 ,33℃,17℃,晴,西北风 ,2级,14:53:03,"30
                                       "
2021-06-06 星期日 ,33℃,20℃,阴,东风 ,2级,14:53:57,"44
                                       "
2021-06-07 星期一 ,28℃,20℃,阴,东风 ,3级,14:54:47,"49
                                       "
2021-06-08 星期二 ,28℃,21℃,多云,东风 ,2级,14:55:33,"61
                                       "
2021-06-09 星期三 ,25℃,19℃,阴,北风 ,3级,14:56:16,"51
                                       "
2021-06-10 星期四 ,32℃,18℃,晴,西风 ,2级,14:56:56,"32
                                       "
2021-06-11 星期五 ,35℃,19℃,阴,西南风 ,2级,14:57:32,"51
                                       "
2021-06-12 星期六 ,35℃,23℃,阴,南风 ,2级,14:58:06,"88
                                       "
2021-06-13 星期日 ,34℃,23℃,阴,南风 ,2级,14:58:35,"81
                                       "
2021-06-14 星期一 ,28℃,22℃,多云,东风 ,2级,14:59:01,"33
                                       "
2021-06-15 星期二 ,32℃,20℃,阴,东南风 ,2级,14:59:24,"52
                                       "
2021-06-16 星期三 ,20℃,20℃,小雨,东南风 ,2级,14:59:42,"33
                                       "
2021-06-17 星期四 ,32℃,19℃,晴,西北风 ,3级,14:59:58,"28
                                       "
2021-06-18 星期五 ,34℃,19℃,晴,西北风 ,3级,15:00:10,"29
                                       "
2021-06-19 星期六 ,35℃,20℃,晴,西北风 ,3级,15:00:18,"36
                                       "
2021-06-20 星期日 ,34℃,23℃,多云,西南风 ,2级,15:00:23,"38
                                       "
2021-06-21 星期一 ,35℃,22℃,晴,东风 ,3级,15:00:23,"63
                                       "
2021-06-22 星期二 ,32℃,21℃,多云,南风 ,2级,15:00:21,"53
                                       "
2021-06-23 星期三 ,23℃,22℃,阴,东南风 ,2级,15:00:15,"38
                                       "
2021-06-24 星期四 ,27℃,20℃,小雨转阴,南风 ,2级,15:00:05,"43
                                       "
2021-06-25 星期五 ,28℃,22℃,小雨,东南风 ,2级,14:59:52,"49
                                       "
2021-06-26 星期六 ,27℃,22℃,晴,东北风 ,2级,14:59:35,"40
                                       "
2021-06-27 星期日 ,33℃,22℃,晴,东风 ,2级,14:59:15,"57
                                       "
2021-06-28 星期一 ,30℃,22℃,多云,东南风 ,2级,14:58:51,"62
                                       "
2021-06-29 星期二 ,27℃,22℃,小雨到中雨,东南风 ,2级,14:58:23,"43
                                       "
2021-06-30 星期三 ,29℃,23℃,晴,西风 ,1级,14:57:53,"34
                                       "
2021-07-01 星期四 ,29℃,19℃,阴,西南风 ,2级,14:57:18,"34
                                       "
2021-07-02 星期五 ,30℃,19℃,阴,南风 ,2级,14:56:41,"37
                                       "
2021-07-03 星期六 ,25℃,17℃,多云,东南风 ,2级,14:55:59,"37
                                       "
2021-07-04 星期日 ,35℃,23℃,多云,东南风 ,2级,14:55:15,"33
                                       "
2021-07-05 星期一 ,31℃,20℃,小雨到中雨,东南风 ,2级,14:54:28,"35
                                       "
2021-07-06 星期二 ,29℃,22℃,阴,南风 ,2级,14:53:36,"38
                                       "
2021-07-07 星期三 ,32℃,23℃,晴,东风 ,2级,14:52:42,"49
                                       "
2021-07-08 星期四 ,34℃,22℃,晴,西北风 ,2级,14:51:44,"38
                                       "
2021-07-09 星期五 ,32℃,23℃,晴,东风 ,2级,14:50:44,"51
                                       "
2021-07-10 星期六 ,31℃,23℃,阴,东南风 ,2级,14:49:40,"62
                                       "
2021-07-11 星期日 ,26℃,23℃,小雨到中雨,东北风 ,2级,14:48:34,"49
                                       "
2021-07-12 星期一 ,25℃,22℃,阴,东风 ,3级,14:47:24,"16
                                       "
2021-07-13 星期二 ,31℃,24℃,多云,北风 ,2级,14:46:11,"21
                                       "
2021-07-14 星期三 ,30℃,24℃,多云,东风 ,2级,14:44:56,"37
                                       "
2021-07-15 星期四 ,32℃,24℃,多云,东风 ,2级,14:43:37,"45
                                       "
2021-07-16 星期五 ,30℃,24℃,阴,东风 ,2级,14:42:16,"34
                                       "
2021-07-17 星期六 ,29℃,23℃,阴,东风 ,2级,14:40:53,"23
                                       "
2021-07-18 星期日 ,29℃,22℃,晴,东北风 ,3级,14:39:26,"26
                                       "
2021-07-19 星期一 ,30℃,24℃,阴,东南风 ,2级,14:37:57,"29
                                       "
2021-07-20 星期二 ,30℃,23℃,多云,东南风 ,2级,14:36:25,"36
                                       "
2021-07-21 星期三 ,28℃,23℃,阴,南风 ,2级,14:34:51,"32
                                       "
2021-07-22 星期四 ,28℃,23℃,阴,东南风 ,1级,14:33:15,"25
                                       "
2021-07-23 星期五 ,32℃,27℃,多云转小雨,西风 ,4级,14:31:36,"33
                                       "
2021-07-24 星期六 ,32℃,24℃,晴,南风 ,2级,14:29:55,"50
                                       "
2021-07-25 星期日 ,33℃,24℃,多云,南风 ,3级,14:28:12,"54
                                       "
2021-07-26 星期一 ,31℃,25℃,阴,南风 ,2级,14:26:26,"54
                                       "
2021-07-27 星期二 ,36℃,23℃,晴,西风 ,3级,14:24:39,"24
                                       "
2021-07-28 星期三 ,32℃,23℃,晴,东风 ,3级,14:22:49,"20
                                       "
2021-07-29 星期四 ,26℃,22℃,小雨,北风 ,2级,14:20:57,"20
                                       "
2021-07-30 星期五 ,30℃,22℃,多云,北风 ,2级,14:19:04,"19
                                       "
2021-07-31 星期六 ,34℃,23℃,多云转小雨,东北风 ,2级,14:17:08,"43
                                       "
2021-08-01 星期日 ,32℃,22℃,晴,北风 ,3级,14:15:11,"23
                                       "
2021-08-02 星期一 ,32℃,23℃,多云,东北风 ,2级,14:13:11,"24
                                       "
2021-08-03 星期二 ,31℃,24℃,阴,南风 ,2级,14:11:11,"39
                                       "
2021-08-04 星期三 ,34℃,26℃,多云,南风 ,2级,14:09:08,"49
                                       "
2021-08-05 星期四 ,32℃,23℃,多云,东南风 ,2级,14:07:04,"43
                                       "
2021-08-06 星期五 ,33℃,22℃,多云,南风 ,2级,14:04:58,"40
                                       "
2021-08-07 星期六 ,33℃,23℃,晴,东南风 ,2级,14:02:51,"68
                                       "
2021-08-08 星期日 ,32℃,23℃,多云,南风 ,2级,14:00:43,"64
                                       "
2021-08-09 星期一 ,30℃,22℃,晴,东风 ,2级,13:58:33,"40
                                       "
2021-08-10 星期二 ,33℃,23℃,晴,东南风 ,2级,13:56:21,"35
                                       "
2021-08-11 星期三 ,30℃,23℃,阴,东风 ,2级,13:54:09,"52
                                       "
2021-08-12 星期四 ,29℃,22℃,多云,东南风 ,2级,13:51:56,"48
                                       "
2021-08-13 星期五 ,29℃,22℃,多云,东南风 ,2级,13:49:40,"42
                                       "
2021-08-14 星期六 ,27℃,18℃,小雨,东北风 ,3级,13:47:24,"36
                                       "
2021-08-15 星期日 ,28℃,22℃,小雨,南风 ,2级,13:45:07,"34
                                       "
2021-08-16 星期一 ,28℃,22℃,小雨转多云,东南风 ,1级,13:42:48,"35
                                       "
2021-08-17 星期二 ,30℃,21℃,多云,东风 ,2级,13:40:29,"27
                                       "
2021-08-18 星期三 ,28℃,23℃,多云,东南风 ,2级,13:38:09,"33
                                       "
2021-08-19 星期四 ,24℃,20℃,阴,南风 ,2级,13:35:47,"29
                                       "
2021-08-20 星期五 ,28℃,21℃,多云,东北风 ,2级,13:33:25,"26
                                       "
2021-08-21 星期六 ,31℃,22℃,晴,西南风 ,2级,13:31:01,"31
                                       "
2021-08-22 星期日 ,30℃,23℃,多云,南风 ,2级,13:28:38,"58
                                       "
2021-08-23 星期一 ,30℃,20℃,中雨,南风 ,2级,13:26:13,"49
                                       "
2021-08-24 星期二 ,28℃,19℃,晴,西风 ,2级,13:23:48,"24
                                       "
2021-08-25 星期三 ,28℃,18℃,晴,西风 ,2级,13:21:21,"19
                                       "
2021-08-26 星期四 ,26℃,17℃,晴,南风 ,3级,13:18:55,"19
                                       "
2021-08-27 星期五 ,33℃,22℃,晴,东风 ,2级,13:16:27,"24
                                       "
2021-08-28 星期六 ,28℃,18℃,多云,北风 ,2级,13:13:59,"26
                                       "
2021-08-29 星期日 ,29℃,19℃,多云,南风 ,2级,13:11:29,"37
                                       "
2021-08-30 星期一 ,28℃,20℃,多云,东南风 ,2级,13:09:00,"50
                                       "
2021-08-31 星期二 ,27℃,17℃,晴,南风 ,2级,13:06:31,"42
                                       "
2021-09-01 星期三 ,29℃,18℃,晴,南风 ,2级,13:04:00,"40
                                       "
2021-09-02 星期四 ,29℃,18℃,阴,东风 ,1级,13:01:29,"45
                                       "
2021-09-03 星期五 ,30℃,22℃,多云,南风 ,1级,12:58:58,"53
                                       "
2021-09-04 星期六 ,23℃,20℃,阴到小雨,东风 ,1级,12:56:26,"35
                                       "
2021-09-05 星期日 ,24℃,20℃,小雨,北风 ,1级,12:53:54,"25
                                       "
2021-09-06 星期一 ,23℃,14℃,晴,东北风 ,1级,12:51:21,"19
                                       "
2021-09-07 星期二 ,27℃,17℃,晴,东风 ,2级,12:48:48,"28
                                       "
2021-09-08 星期三 ,29℃,19℃,多云,西北风 ,2级,12:46:15,"38
                                       "
2021-09-09 星期四 ,26℃,18℃,阴,东北风 ,1级,12:43:40,"47
                                       "
2021-09-10 星期五 ,24℃,16℃,多云,西南风 ,1级,12:41:06,"53
                                       "
2021-09-11 星期六 ,31℃,22℃,多云,东风 ,1级,12:38:32,"65
                                       "
2021-09-12 星期日 ,23℃,20℃,多云,东北风 ,2级,12:35:57,"50
                                       "
2021-09-13 星期一 ,29℃,20℃,多云,东北风 ,1级,12:33:23,"35
                                       "
2021-09-14 星期二 ,25℃,17℃,多云,东北风 ,1级,12:30:48,"37
                                       "
2021-09-15 星期三 ,25℃,19℃,多云,东北风 ,1级,12:28:13,"44
                                       "
2021-09-16 星期四 ,24℃,17℃,多云,西风 ,1级,12:25:37,"31
                                       "
2021-09-17 星期五 ,27℃,17℃,晴,东南风 ,1级,12:23:01,"27
                                       "
2021-09-18 星期六 ,24℃,18℃,阴,东北风 ,1级,12:20:26,"42
                                       "
2021-09-19 星期日 ,19℃,16℃,小雨,东风 ,2级,12:17:50,"31
                                       "
2021-09-20 星期一 ,33℃,26℃,多云,西南风 ,2级,12:15:13,"21
                                       "
2021-09-21 星期二 ,27℃,11℃,晴,西南风 ,1级,12:12:38,"20
                                       "
2021-09-22 星期三 ,29℃,17℃,多云,南风 ,1级,12:10:02,"29
                                       "
2021-09-23 星期四 ,27℃,17℃,多云,东风 ,2级,12:07:26,"47
                                       "
2021-09-24 星期五 ,19℃,18℃,阴,北风 ,1级,12:04:50,"24
                                       "
2021-09-25 星期六 ,24℃,19℃,小雨到中雨,东北风 ,1级,12:02:13,"26
                                       "
2021-09-26 星期日 ,19℃,17℃,多云,东北风 ,1级,11:59:37,"21
                                       "
2021-09-27 星期一 ,28℃,17℃,多云,南风 ,1级,11:57:00,"27
                                       "
2021-09-28 星期二 ,23℃,17℃,多云,南风 ,1级,11:54:24,"47
                                       "
2021-09-29 星期三 ,23℃,15℃,阴,西北风 ,3级,11:51:48,"43
                                       "
2021-09-30 星期四 ,22℃,16℃,晴,南风 ,1级,11:49:12,"54
                                       "
